MATNR,WERKS,EKGRP,DISPO,DISMM,BESKZ,PLIFZ,EISBE,MINBE,MAABC,MMSTA,LVORM
000000000000100777,2000,E01,102,PD,F,7,335,250,A,,
000000000000100778,1000,E03,201,,F,13,56,100,C,,
000000000000100779,3000,,102,PD,E,0,126,250,A,,
000000000000100781,3000,,301,VB,E,0,390,0,C,,
000000000000100782,2000,E01,102,PD,F,19,291,0,A,,
000000000000100783,2000,E01,301,PD,F,15,347,0,A,,
000000000000100784,1000,E02,102,PD,F,18,373,50,A,,
000000000000100785,3000,E01,101,PD,F,7,344,0,A,,
000000000000100786,2000,E10,201,VB,F,8,26,250,C,,
000000000000100787,3000,E02,102,VB,F,20,113,0,B,,
000000000000100788,1000,E01,101,PD,F,3,318,50,C,,
000000000000100789,1000,,101,ND,E,0,171,50,C,,
000000000000100789,3000,,101,VB,E,0,8,0,C,,
000000000000100790,1000,E10,101,PD,F,20,300,50,B,,
000000000000100791,3000,,301,PD,E,0,365,50,A,,
000000000000100792,1000,E01,102,PD,F,19,131,0,B,,
000000000000100792,2000,E03,101,PD,F,5,229,0,C,,
000000000000100793,2000,E03,102,ND,F,9,357,0,B,,
000000000000100794,1000,E01,201,PD,F,17,120,250,B,,
000000000000100795,2000,E01,102,PD,F,16,112,0,C,,
000000000000100796,3000,E10,102,VB,F,21,179,0,B,,
000000000000100797,3000,,301,PD,E,0,86,250,B,,
000000000000100798,3000,E02,101,ND,F,20,363,250,B,,
000000000000100799,3000,,201,PD,E,0,192,0,C,,
000000000000100800,3000,,102,PD,E,0,365,0,A,,
000000000000100801,1000,E10,101,PD,F,16,12,250,A,,
000000000000100802,1000,E02,101,ND,F,6,189,0,C,,
000000000000100803,3000,E10,301,VB,F,11,111,0,A,,
000000000000100804,1000,E01,102,ND,F,4,143,0,A,,
000000000000100805,1000,E01,201,VB,F,18,395,100,B,,
000000000000100805,2000,E03,101,VB,F,20,351,100,C,,
000000000000100806,2000,E03,301,ND,F,4,270,50,B,,
000000000000100807,3000,,201,ND,E,0,346,250,B,,
000000000000100808,3000,E01,102,ND,F,21,269,50,A,,
000000000000100809,2000,E02,201,VB,F,20,76,100,C,,
000000000000100810,2000,E02,101,PD,F,15,368,50,B,,
000000000000100811,1000,E03,102,PD,F,3,199,0,B,,
000000000000100812,3000,E02,101,VB,F,13,354,0,B,,
000000000000100813,2000,E02,101,ND,F,21,374,0,C,,
000000000000100814,1000,E01,102,PD,F,9,335,100,C,,
000000000000100814,2000,E10,102,VB,F,3,277,100,B,,
000000000000100815,2000,E03,201,PD,F,20,105,0,B,,
000000000000100816,1000,E10,102,VB,F,19,215,0,C,,
000000000000100816,2000,E01,201,ND,F,2,354,250,C,,
000000000000100817,1000,E01,201,PD,F,10,291,50,B,,
000000000000100818,3000,E03,301,PD,F,10,224,0,A,,
000000000000100819,1000,E10,201,PD,F,11,182,50,A,,
000000000000100820,3000,E10,102,ND,F,17,371,250,B,,
000000000000100821,2000,E10,102,PD,F,5,145,50,A,,
000000000000100822,1000,,102,PD,F,7,51,100,B,,
000000000000100822,2000,E10,201,PD,F,7,50,250,B,,
000000000000100823,1000,,201,VB,F,13,350,100,A,,
000000000000100823,2000,E03,201,PD,F,15,128,50,C,,
000000000000100824,1000,E10,201,VB,F,18,370,100,A,,
000000000000100824,2000,E02,102,ND,F,7,354,50,A,,
000000000000100825,1000,E03,102,PD,E,6,117,250,B,,
000000000000100825,2000,E02,101,VB,F,14,177,0,A,,
000000000000100826,1000,E03,101,PD,F,14,74,0,B,,
000000000000100827,2000,E03,101,PD,F,13,314,0,A,,
