KUNNR,KTOKD,NAME1,NAME2,SORTL,STRAS,ORT01,PSTLZ,LAND1,SPRAS,TELF1,SMTP_ADDR,STCD1,STCD2,STCD3,STCEG,LOEVM,SPERM,ERDAT
0002000261,KUNA,Metzgerei Ziegler,,METZGEREIZ,Talstraße 173,Leipzig,04109,DE,DE,+49 96 6719 8458,buchhaltung@metzgereiziegler.de,DE634262048,,,DE947272553,,,2010-11-09
0002000262,KUNA,Ullrich Gastronomie GmbH 18,,ULLRICHGAS,Am Hafen 74,Freiburg,79098,DE,DE,+43 30 9063 5072,einkauf@ullrichgastronomie.de,DE939912573,,,DE257438395,,,2012-01-23
0002000263,DEBI,Kaufmann Vertriebs KG 3,,KAUFMANNVE,Schulstraße 206,Frankfurt am Main,60311,DE,DE,+31 50 2287 4672,einkauf@kaufmannvertriebsk.de,DE947392854,,,DE998286464,,,2025-10-19
0002000264,KUNA,Hotel Brandes Wuppertal,,HOTELBRAND,Am Hafen 24,Wuppertal,42103,DE,DE,+31 54 6156 3734,info@hotelbrandeswupper.de,,,,,,,2023-10-14
0002000265,KUNA,Wendt Partnermarkt Nürnberg,,WENDTPARTN,Ringstraße 24,Nürnberg,90403,DE,DE,+31 73 2959 3021,einkauf@wendtpartnermarktn.de,DE040329160,,,DE458074267,,,2019-03-24
0002000266,KUNA,Stein Gastronomie GmbH 17,,STEINGASTR,Ringstraße 197,Augsburg,86150,DE,DE,+43 69 7878 553,bestellung@steingastronomiegm.de,DE882577349,,,DE987936926,,,2013-09-10
0002000267,KUNA,Gruber Partnermarkt Bielefeld,,GRUBERPART,Gewerbepark 110,Bielefeld,33602,DE,DE,+31 60 4831 940,bestellung@gruberpartnermarkt.de,,,,DE803075346,,,2016-12-08
0002000268,KUNA,Betriebskantine Thiel AG,,BETRIEBSKA,Gewerbepark 3,Leipzig,04109,DE,DE,+49 97 4136 1407,buchhaltung@betriebskantinethi.de,,,,DE014520333,,,2022-08-01
0002000269,KUNA,Hotel Sommer Mannheim,,HOTELSOMME,Schulstraße 190,Mannheim,68159,DE,DE,+49 49 6983 8558,buchhaltung@hotelsommermannhei.de,,,,DE265375527,,,2023-11-07
0002000270,DEBI,Rohde Vertriebs KG,,ROHDEVERTR,Lindenweg 226,Zürich,8001,CH,DE,+49 34 6577 9203,einkauf@rohdevertriebskg.ch,,,,,,,2014-01-28
0002000271,KUNA,Metzgerei Gruber,,METZGEREIG,Schulstraße 48,Graz,8010,AT,DE,+48 88 3067 2767,buchhaltung@metzgereigruber.at,,,,AT324272022,,,2023-03-22
0002000272,KUNA,Bäckerei Dittrich,,BÄCKEREIDI,Feldweg 141,Hannover,30159,DE,DE,+41 28 2129 1128,bestellung@bäckereidittrich.de,DE835639973,,,DE299211322,,,2011-07-04
0002000273,DEBI,Sievers Vertriebs KG,,SIEVERSVER,Lindenweg 13,Graz,8010,AT,DE,+41 31 4404 8516,einkauf@sieversvertriebskg.at,,,,AT600832981,,,2025-01-12
0002000274,KUNA,Frank Partnermarkt Duisburg,,FRANKPARTN,Bahnhofstraße 238,Duisburg,47051,DE,DE,+49 77 6833 1446,info@frankpartnermarktd.de,DE570499571,,,DE003093346,,,2018-08-18
0002000275,KUNA,Betriebskantine Gruber AG,,BETRIEBSKA,Marktplatz 115,Duisburg,47051,DE,DE,+43 73 4002 8498,einkauf@betriebskantinegru.de,DE035971768,,,DE369361832,,X,2020-08-22
0002000276,KUNA,Ziegler Gastronomie GmbH 11,,ZIEGLERGAS,Marktplatz 203,Essen,45127,DE,DE,+33 71 1367 2976,einkauf@zieglergastronomie.de,,,,DE460520335,,,2024-05-13
0002000277,KUNA,Bäckerei Sievers 10,,BÄCKEREISI,Lindenweg 92,Warszawa,00-001,PL,EN,+49 39 1875 5807,bestellung@bäckereisievers10.pl,,,,,,,2011-12-15
0002000278,KUNA,Bäckerei Radtke,,BÄCKEREIRA,Am Hafen 72,Augsburg,86150,DE,DE,+41 43 9590 5854,bestellung@bäckereiradtke.de,,,,DE202450677,,,2018-03-03
0002000279,KUNA,Hotel Vogel Rotterdam,,HOTELVOGEL,Am Hafen 73,Rotterdam,3011 AA,NL,EN,+49 70 2886 867,bestellung@hotelvogelrotterda.nl,,,,NL154336971,,,2019-11-11
0002000280,KUNA,Radtke Partnermarkt Karlsruhe,,RADTKEPART,Brückenstraße 160,Karlsruhe,76133,DE,DE,+48 20 1579 9041,info@radtkepartnermarkt.de,,,,DE446067631,,,2013-02-12
0002000281,DEBI,Rohde Vertriebs KG 10,,ROHDEVERTR,Gewerbepark 127,Düsseldorf,40213,DE,DE,+31 32 5079 843,buchhaltung@rohdevertriebskg10.de,,,,DE011313548,,,2018-05-17
0002000282,KUNA,Betriebskantine Radtke AG,,BETRIEBSKA,Am Hafen 94,Karlsruhe,76133,DE,DE,+48 86 4348 5244,info@betriebskantinerad.de,DE771185421,,,DE008683919,,,2024-10-06
0002000283,DEBI,Böhm Großhandel GmbH 15,,BÖHMGROSSH,Bahnhofstraße 96,Dortmund,44135,DE,DE,+41 67 2720 3704,buchhaltung@böhmgroßhandelgmbh.de,DE526516586,,,DE139806634,,,2017-02-22
0002000284,KUNA,Bäckerei Winkler 14,,BÄCKEREIWI,Gewerbepark 98,Bielefeld,33602,DE,DE,+49 75 8116 7083,bestellung@bäckereiwinkler14.de,DE480440811,,,DE563108978,,,2015-07-28
0002000285,DEBI,Winkler Großhandel GmbH 15,,WINKLERGRO,Schulstraße 13,Zürich,8001,CH,DE,+41 83 1312 7027,buchhaltung@winklergroßhandelg.ch,,,,,,,2022-08-26
0002000286,KUNA,Betriebskantine Krause AG,,BETRIEBSKA,Schulstraße 2,Kraków,30-001,PL,EN,+43 45 8169 2789,buchhaltung@betriebskantinekra.pl,,,,PL764579709,,,2018-10-11
0002000287,KUNA,Vetter Handels GmbH & Co. KG,,VETTERHAND,Ringstraße 60,Wuppertal,42103,DE,DE,+49 29 6134 2411,info@vetterhandelsgmbhc.de,,,,DE866569019,,,2012-04-28
0002000288,DEBI,Eckert Vertriebs KG,,ECKERTVERT,Brückenstraße 30,Köln,50667,DE,DE,+43 89 3978 5908,buchhaltung@eckertvertriebskg.de,,,,DE031686226,,,2011-07-23
0002000289,DEBI,Bergmann Vertriebs KG 8,,BERGMANNVE,Schulstraße 101,Dortmund,44135,DE,DE,+43 37 1841 4726,buchhaltung@bergmannvertriebsk.de,,,,DE597127271,,,2011-04-26
0002000290,KUNA,Bergmann Partnermarkt Stuttgart,,BERGMANNPA,Brückenstraße 169,Stuttgart,70173,DE,DE,+43 94 6907 6726,,,,,DE663484701,,,2024-06-16
0002000291,KUNA,Sommer Partnermarkt Wuppertal,,SOMMERPART,,Wuppertal,42103,DE,DE,+49 48 4749 9263,info@sommerpartnermarkt.de,DE156854809,,,DE527235315,,,2018-05-20
0002000292,KUNA,Metzgerei Krause,,METZGEREIK,Marktplatz 138,Wuppertal,42103,DE,DE,+43 35 2221 3587,einkauf@metzgereikrause.de,DE251331302,,,DE586481583,,,2010-03-01
0002000293,KUNA,Betriebskantine Ziegler AG 5,,BETRIEBSKA,Brückenstraße 12,Frankfurt am Main,60311,DE,DE,+43 52 2966 7764,buchhaltung@betriebskantinezie.de,DE510978461,,,DE427488946,,,2012-10-07
0002000294,ZCUS,Kiosk Böhm Warszawa,Zentrale,KIOSKBÖHMW,Am Hafen 58,Warszawa,00-001,PL,EN,+31 78 8107 9107,buchhaltung@kioskböhmwarszawa.pl,,,,PL385960198,,,2017-10-13
0002000295,KUNA,Amann Gastronomie GmbH 3,Zentrale,AMANNGASTR,Hauptstraße 173,Rotterdam,3011 AA,NL,EN,+43 22 6315 3536,,,,,,,,2025-02-07
0002000296,KUNA,Amann Gastronomie GmbH 10,,AMANNGASTR,Marktplatz 233,Wuppertal,42103,DE,DE,+33 62 4408 5364,bestellung@amanngastronomiegm.de,,,,DE381040646,,,2010-10-17
0002000297,KUNA,Metzgerei Bergmann,Zentrale,METZGEREIB,Brückenstraße 147,Düsseldorf,40213,DE,DE,+43 83 5665 9385,bestellung@metzgereibergmann.de,,,,DE550837642,,,2025-01-10
0002000298,ZCUS,Kiosk Rohde Stuttgart,,KIOSKROHDE,Marktplatz 154,Stuttgart,70173,DE,DE,+41 57 6772 6153,einkauf@kioskrohdestuttgar.de,DE638161570,,,DE449324951,,,2010-04-05
0002000299,KUNA,Betriebskantine Hartmann AG,Zentrale,BETRIEBSKA,Gewerbepark 213,Graz,8010,AT,DE,+48 33 4711 3334,buchhaltung@betriebskantinehar.at,,,,,,,2019-09-24
0002000300,KUNA,Hotel Kaufmann Rotterdam,Zentrale,HOTELKAUFM,Schulstraße 107,Rotterdam,3011 AA,NL,EN,+33 49 5285 8078,bestellung@hotelkaufmannrotte.nl,,,,,,,2011-01-18
0002000301,KUNA,Bäckerei Radtke 15,,BÄCKEREIRA,Industriering 159,Münster,48143,DE,DE,+43 78 3056 1535,buchhaltung@bäckereiradtke15.de,,,,DE898348685,,,2010-04-19
0002000302,DEBI,Krause Großhandel GmbH 15,,KRAUSEGROS,Lindenweg 57,Duisburg,47051,DE,DE,+33 32 7897 3038,einkauf@krausegroßhandelgm.de,,,,DE549422554,,,2017-12-24
0002000303,KUNA,Bäckerei Vogel,,BÄCKEREIVO,Hauptstraße 181,Leipzig,04109,DE,DE,+31 68 6195 4264,info@bäckereivogel.de,DE590471276,,,DE915008625,,,2026-07-28
0002000304,ZCUS,Kiosk Wendt Freiburg,,KIOSKWENDT,Schulstraße 106,Freiburg,79098,DE,DE,+31 65 7609 340,einkauf@kioskwendtfreiburg.de,DE697807546,,,DE781528330,,,2016-12-11
0002000305,KUNA,Ullrich Gastronomie GmbH 9,,ULLRICHGAS,Marktplatz 161,Essen,45127,DE,DE,+31 90 1406 289,einkauf@ullrichgastronomie.de,DE944371877,,,DE555174419,,,2024-06-22
0002000306,DEBI,Dittrich Großhandel GmbH,Zentrale,DITTRICHGR,Hauptstraße 121,Stuttgart,70173,DE,DE,+33 49 7498 6730,bestellung@dittrichgroßhandel.de,,,,DE997523269,,,2017-07-14
0002000307,KUNA,Vetter Handels GmbH & Co. KG 5,,VETTERHAND,Am Hafen 169,Dresden,01067,DE,DE,+31 62 9646 1207,einkauf@vetterhandelsgmbhc.de,,,,DE519160101,,,2023-09-07
0002000308,ZCUS,Kiosk Wendt Freiburg 16,,KIOSKWENDT,Bahnhofstraße 219,Freiburg,79098,DE,DE,+41 65 9683 7014,info@kioskwendtfreiburg.de,DE805246872,,,DE328908482,,,2026-03-06
0002000309,KUNA,Böhm Gastronomie GmbH 6,,BÖHMGASTRO,Lindenweg 218,Bremen,28195,DE,DE,+49 90 6009 8185,einkauf@böhmgastronomiegmb.de,DE089683017,,,DE432100757,,,2023-12-03
0002000310,KUNA,Hotel Lehmann Augsburg,,HOTELLEHMA,Industriering 116,Augsburg,86150,DE,DE,+43 55 9838 5860,bestellung@hotellehmannaugsbu.de,DE327556629,,,DE165361652,,,2020-01-06
0002000311,KUNA,Winkler Partnermarkt Dresden,,WINKLERPAR,Industriering 84,Dresden,01067,DE,DE,+48 86 5126 5936,bestellung@winklerpartnermark.de,DE892892453,,,DE418769207,,,2025-11-28
0002000312,KUNA,Dittrich Gastronomie GmbH,,DITTRICHGA,Lindenweg 184,Mannheim,68159,DE,DE,+48 68 4695 7660,bestellung@dittrichgastronomi.de,,,,DE840663079,,X,2013-08-12
0002000313,KUNA,Betriebskantine Ullrich AG 9,,BETRIEBSKA,Gewerbepark 37,Warszawa,00-001,PL,EN,+33 39 6585 8839,info@betriebskantineull.pl,,,,PL427560473,,,2024-08-10
0002000314,KUNA,Metzgerei Thiel,,METZGEREIT,Feldweg 185,Köln,50667,DE,DE,+33 98 4970 2873,einkaufmetzgereithiel.de,,,,DE312204156,,,2011-10-25
0002000315,ZCUS,Kiosk Brandes Bielefeld,,KIOSKBRAND,Schulstraße 160,Bielefeld,33602,DE,DE,+41 99 2901 3668,bestellung@kioskbrandesbielef.de,DE761013760,,,DE937006658,,,2020-10-21
0002000316,KUNA,Bäckerei Ziegler 12,,BÄCKEREIZI,Talstraße 220,Bielefeld,33602,DE,DE,+49 81 7090 7095,buchhaltung@bäckereiziegler12.de,DE015121924,,,DE355473058,,,2020-01-26
0002000317,KUNA,Vogel Gastronomie GmbH,,VOGELGASTR,Bahnhofstraße 64,Düsseldorf,40213,DE,DE,+33 22 9985 4512,info@vogelgastronomiegm.de,DE071077561,,,DE752496588,,,2012-10-19
0002000318,KUNA,Betriebskantine Radtke AG 15,,BETRIEBSKA,Lindenweg 111,Münster,48143,DE,DE,+33 95 7412 5612,info@betriebskantinerad.de,DE513102874,,,DE272321525,,,2025-12-27
0002000319,KUNA,Bäckerei Eckert,,BÄCKEREIEC,Gewerbepark 162,Essen,45127,DE,DE,+43 36 7005 2075,info@bäckereieckert.de,,,,DE529184389,,,2021-10-10
0002000320,DEBI,Clemens Vertriebs KG 8,,CLEMENSVER,Hauptstraße 184,Bremen,28195,DE,DE,+48 34 9706 7799,info@clemensvertriebskg.de,DE980932585,,,DE403938687,,,2025-03-28
0002000321,ZCUS,Kiosk Eckert Essen,,KIOSKECKER,Bahnhofstraße 163,Essen,45127,DE,DE,+31 97 3883 8984,buchhaltung@kioskeckertessen.de,,,,DE786971563,,,2010-09-15
0002000322,KUNA,Bäckerei Radtke 8,Zentrale,BÄCKEREIRA,Bahnhofstraße 65,München,80331,DE,DE,+48 61 6497 7668,bestellung@bäckereiradtke8.de,DE852716855,,,DE189747077,,,2013-12-15
0002000323,DEBI,Lehmann Großhandel GmbH 8,,LEHMANNGRO,Brückenstraße 67,Dortmund,44135,DE,DE,+48 97 8835 4653,einkauf@lehmanngroßhandelg.de,DE344286930,,,DE158501376,,,2025-06-17
0002000324,KUNA,Ullrich Gastronomie GmbH 3,,ULLRICHGAS,Bahnhofstraße 88,Augsburg,86150,DE,DE,+31 91 1589 2793,bestellung@ullrichgastronomie.de,DE874685494,,,DE823755642,,,2022-12-18
0002000325,KUNA,Betriebskantine Thiel AG 17,,BETRIEBSKA,Talstraße 173,Hannover,30159,DE,DE,+49 55 2550 6559,bestellung@betriebskantinethi.de,DE536751722,,,DE161328266,,,2019-11-28
0002000326,KUNA,Hotel Brandes Bonn,,HOTELBRAND,Gewerbepark 25,Bonn,53111,DE,DE,+49 88 4513 9641,info@hotelbrandesbonn.de,,,,DE510597596,,,2014-10-24
0002000327,KUNA,Thiel Partnermarkt Bremen,,THIELPARTN,Talstraße 4,Bremen,28195,DE,DE,+48 73 4592 298,bestellung@thielpartnermarktb.de,,,,DE671743282,,,2015-04-17
0002000328,KUNA,Frank Handels GmbH & Co. KG,,FRANKHANDE,Hauptstraße 158,Bonn,53111,DE,DE,+48 68 9218 8209,info@frankhandelsgmbhco.de,DE063682484,,,DE145850788,,,2021-01-26
0002000329,DEBI,Böhm Vertriebs KG 8,,BÖHMVERTRI,Bahnhofstraße 162,Dresden,01067,DE,DE,+31 28 5412 8986,info@böhmvertriebskg8.de,,,,DE837796204,,,2019-10-24
0002000330,KUNA,Metzgerei Brandes,Zentrale,METZGEREIB,Hauptstraße 200,Wuppertal,42103,DE,DE,+43 82 6246 7103,info@metzgereibrandes.de,,,,DE065444053,,,2013-07-22
0002000331,KUNA,Bäckerei Vetter 12,,BÄCKEREIVE,Brückenstraße 188,Essen,45127,DE,DE,+33 79 8680 5997,einkauf@bäckereivetter12.de,,,,DE119754942,,,2012-04-14
0002000332,ZCUS,Kiosk Clemens Frankfurt am Main,,KIOSKCLEME,Lindenweg 183,Frankfurt am Main,60311,DE,DE,+33 64 4471 7971,bestellung@kioskclemensfrankf.de,DE252230681,,,DE866054107,X,,2018-08-09
0002000333,KUNA,Thiel Gastronomie GmbH,Zentrale,THIELGASTR,Ringstraße 93,Hannover,30159,DE,DE,+48 67 9641 9038,info@thielgastronomiegm.de,,,,DE887985838,,,2018-03-18
0002000334,KUNA,Bäckerei Vogel 11,,BÄCKEREIVO,Brückenstraße 113,Augsburg,86150,DE,DE,+49 68 9738 7871,buchhaltung@bäckereivogel11.de,DE529429570,,,DE441677564,,,2023-05-27
0002000335,KUNA,Metzgerei Lehmann 15,,METZGEREIL,Gewerbepark 120,Nürnberg,90403,DE,DE,+41 64 5369 9400,bestellung@metzgereilehmann15.de,DE322942722,,,DE710916259,,,2016-12-12
0002000336,DEBI,Amann Vertriebs KG,,AMANNVERTR,Bahnhofstraße 178,Basel,4051,CH,DE,+48 30 7031 9088,einkauf@amannvertriebskg.ch,,,,,,,2025-07-12
0002000337,KUNA,Hotel Dittrich Essen,,HOTELDITTR,Marktplatz 195,Essen,45127,DE,DE,+31 33 8616 4992,bestellung@hoteldittrichessen.de,,,,DE325208182,,,2025-04-27
0002000338,DEBI,Vogel Großhandel GmbH 14,,VOGELGROSS,Marktplatz 113,Düsseldorf,40213,DE,DE,+48 78 1404 7727,info@vogelgroßhandelgmb.de,DE639359221,,,DE747093315,,,2017-03-14
0002000339,KUNA,Hotel Radtke Lille,,HOTELRADTK,Ringstraße 144,Lille,59000,FR,FR,+41 34 5016 524,einkauf@hotelradtkelille.fr,,,,,,,2022-11-17
0002000340,DEBI,Brandes Vertriebs KG,,BRANDESVER,Ringstraße 112,Dresden,01067,DE,DE,+41 68 2207 8556,bestellung@brandesvertriebskg.de,DE280829656,,,DE346303322,,,2021-01-08
0002000341,KUNA,Amann Partnermarkt Freiburg 11,,AMANNPARTN,Gewerbepark 184,Freiburg,79098,DE,DE,+31 64 7171 9340,info@amannpartnermarktf.de,,,,DE373949189,,,2025-02-11
0002000342,KUNA,Krause Handels GmbH & Co. KG 13,,KRAUSEHAND,Industriering 124,Duisburg,47051,DE,DE,+48 95 7679 8409,buchhaltung@krausehandelsgmbhc.de,,,,DE195508636,,,2017-01-17
0002000343,KUNA,Brandes Partnermarkt Warszawa,,BRANDESPAR,Am Hafen 115,Warszawa,00-001,PL,EN,,einkauf@brandespartnermark.pl,,,,PL911460014,,,2020-08-07
0002000344,KUNA,Betriebskantine Sommer AG 9,,BETRIEBSKA,Feldweg 142,Hannover,30159,DE,DE,+43 46 2992 1704,info@betriebskantinesom.de,DE020198260,,,DE525813796,,,2017-06-09
0002000345,DEBI,Rohde Vertriebs KG 19,,ROHDEVERTR,Lindenweg 226,Duisburg,47051,DE,DE,+31 25 8332 3565,bestellung@rohdevertriebskg19.de,DE419994580,,,DE009178374,,,2019-07-25
0002000346,KUNA,Bäckerei Stein 6,,BÄCKEREIST,Hauptstraße 48,Leipzig,04109,DE,DE,+48 98 5359 7820,einkauf@bäckereistein6.de,DE296639118,,,DE525712062,,,2017-10-23
0002000347,KUNA,Bäckerei Krause 16,,BÄCKEREIKR,Ringstraße 152,Köln,50667,DE,DE,+49 94 5639 9753,bestellung@bäckereikrause16.de,,,,DE513505771,,,2015-02-28
0002000348,KUNA,Frank Gastronomie GmbH 4,,FRANKGASTR,Marktplatz 26,Köln,50667,DE,DE,+48 72 7920 1363,einkauf@frankgastronomiegm.de,DE470337810,,,DE234378613,,,2022-10-06
0002000349,KUNA,Hotel Sommer Freiburg,,HOTELSOMME,Marktplatz 212,Freiburg,79098,DE,DE,+43 99 8494 4113,info@hotelsommerfreibur.de,DE951617364,,,DE232148126,,,2026-02-21
0002000350,DEBI,Engel Vertriebs KG 18,,ENGELVERTR,Schulstraße 228,Duisburg,47051,DE,DE,+31 27 7235 4633,einkauf@engelvertriebskg18.de,DE103087462,,,DE080674792,,,2011-08-04
0002000351,ZCUS,Kiosk Hartmann Mannheim,Zentrale,KIOSKHARTM,Schulstraße 15,Mannheim,68159,DE,DE,+31 68 5867 7561,info@kioskhartmannmannh.de,DE217974093,,,DE595957798,,,2015-07-08
0002000352,KUNA,Frank Handels GmbH & Co. KG 2,,FRANKHANDE,Marktplatz 29,Karlsruhe,76133,DE,DE,+31 55 5138 5299,bestellung@frankhandelsgmbhco.de,DE174679668,,,DE870129536,,,2022-06-21
0002000353,ZCUS,Kiosk Stein Freiburg,,KIOSKSTEIN,Lindenweg 196,Freiburg,79098,DE,DE,+41 91 9770 561,buchhaltung@kiosksteinfreiburg.de,DE093769087,,,DE056772649,,,2026-07-12
0002000354,KUNA,Hotel Krause Warszawa,,HOTELKRAUS,Hauptstraße 31,Warszawa,00-001,PL,EN,+48 43 4170 9980,buchhaltung@hotelkrausewarszaw.pl,,,,,,,2017-04-23
0002000355,KUNA,Metzgerei Sievers 18,,METZGEREIS,Schulstraße 78,Bochum,44787,DE,DE,+48 35 1705 1528,einkauf@metzgereisievers18.de,DE542632463,,,DE695551140,,,2024-11-05
0002000356,KUNA,Lehmann Gastronomie GmbH,,LEHMANNGAS,Hauptstraße 127,Augsburg,86150,DE,DE,+43 97 2801 9827,bestellung@lehmanngastronomie.de,DE286792160,,,DE834834249,,,2024-06-12
0002000357,KUNA,Metzgerei Sievers 18,Zentrale,METZGEREIS,Bahnhofstraße 26,Duisburg,47051,DE,DE,+41 64 4998 1393,einkauf@metzgereisievers18.de,DE311637918,,,DE060171906,,,2014-11-28
0002000358,ZCUS,Kiosk Stein Dortmund,,KIOSKSTEIN,Marktplatz 215,Dortmund,44135,DE,DE,+33 46 5894 974,info@kiosksteindortmund.de,DE526803569,,,DE612029447,,,2021-12-07
0002000359,KUNA,Hotel Stein Freiburg,,HOTELSTEIN,Schulstraße 31,Freiburg,79098,DE,DE,+49 74 9393 4265,buchhaltung@hotelsteinfreiburg.de,DE327418647,,,DE920922878,,,2011-01-28
0002000360,ZCUS,Kiosk Clemens München,Zentrale,KIOSKCLEME,Am Hafen 183,München,80331,DE,DE,+31 62 9684 1314,bestellung@kioskclemensmünche.de,DE933322153,,,DE220638733,,,2016-08-25
0002000361,ZCUS,Kiosk Böhm Leipzig,,KIOSKBÖHML,Marktplatz 91,Leipzig,04109,DE,DE,+33 24 2402 2642,bestellung@kioskböhmleipzig.de,DE626913923,,,DE873853308,,,2014-03-14
0002000362,KUNA,Betriebskantine Böhm AG,,BETRIEBSKA,Gewerbepark 89,Amsterdam,1012 AB,NL,EN,+43 85 6105 5410,buchhaltung@betriebskantineböh.nl,,,,,,,2019-01-22
0002000363,ZCUS,Kiosk Sommer Düsseldorf,,KIOSKSOMME,Marktplatz 182,Düsseldorf,40213,DE,DE,+48 37 4630 3174,info@kiosksommerdüsseld.de,DE167882347,,,DE184483917,,,2018-11-10
0002000364,KUNA,Hotel Ullrich Mannheim,,HOTELULLRI,Marktplatz 142,Mannheim,68159,DE,DE,+41 35 6503 2794,info@hotelullrichmannhe.de,DE014303287,,,DE068145220,,,2020-02-22
0002000365,ZCUS,Kiosk Hartmann Wien,Zentrale,KIOSKHARTM,Ringstraße 212,Wien,1010,AT,DE,,buchhaltung@kioskhartmannwien.at,,,,AT733878825,,,2012-03-19
0002000366,KUNA,Betriebskantine Vogel AG 9,,BETRIEBSKA,Marktplatz 219,Amsterdam,1012 AB,NL,EN,+43 35 6390 7212,einkauf@betriebskantinevog.nl,,,,NL504821873,,,2016-03-11
0002000367,KUNA,Brandes Handels GmbH & Co. KG 6,,BRANDESHAN,Hauptstraße 164,Karlsruhe,76133,DE,DE,+49 51 6883 7393,einkauf@brandeshandelsgmbh.de,DE732558229,,,DE918888094,,,2014-10-16
0002000368,KUNA,Ziegler Gastronomie GmbH 11,,ZIEGLERGAS,Industriering 32,München,80331,DE,DE,+31 22 1529 5150,buchhaltung@zieglergastronomie.de,DE807231729,,,DE986098861,,,2020-07-27
0002000369,KUNA,Metzgerei Stein 19,,METZGEREIS,Marktplatz 40,Essen,45127,DE,DE,+49 88 5930 5065,info@metzgereistein19.de,DE863467561,,,DE941256795,,,2018-01-22
0002000370,KUNA,Hotel Amann Hamburg,,HOTELAMANN,Am Hafen 154,Hamburg,20095,DE,DE,+31 77 9727 316,buchhaltung@hotelamannhamburg.de,DE284306903,,,DE943833140,,,2012-05-11
0002000371,KUNA,Betriebskantine Amann AG,Zentrale,BETRIEBSKA,Talstraße 67,Karlsruhe,76133,DE,DE,+43 78 5458 3242,buchhaltungbetriebskantineama.de,DE047291549,,,DE216825447,,,2019-12-21
0002000372,KUNA,Metzgerei Krause 19,,METZGEREIK,Bahnhofstraße 69,Essen,45127,DE,DE,+49 42 2732 1445,info@metzgereikrause19.de,DE648059825,,,DE990003968,,,2025-04-12
0002000373,KUNA,Betriebskantine Hartmann AG 17,,BETRIEBSKA,Brückenstraße 188,Rotterdam,3011 AA,NL,EN,+43 66 6189 3170,,,,,NL498311301,,,2013-08-09
0002000374,KUNA,Radtke Gastronomie GmbH 8,,RADTKEGAST,Ringstraße 34,Bremen,28195,DE,DE,+43 30 3711 4699,einkauf@radtkegastronomieg.de,DE107829247,,,DE457167264,,,2017-03-16
0002000375,KUNA,Eckert Gastronomie GmbH 19,,ECKERTGAST,Feldweg 228,Nürnberg,90403,DE,DE,+33 62 4867 2716,bestellung@eckertgastronomieg.de,,,,DE357517640,,,2012-09-10
0002000376,KUNA,Metzgerei Bergmann 11,Zentrale,METZGEREIB,Marktplatz 44,Freiburg,79098,DE,DE,+48 65 7468 7782,info@metzgereibergmann1.de,DE049178267,,,DE797244336,,,2016-01-18
0002000377,KUNA,Betriebskantine Eckert AG 13,,BETRIEBSKA,Hauptstraße 157,Wuppertal,42103,DE,DE,+49 91 7773 9225,info@betriebskantineeck.de,DE138084026,,,DE146753889,,,2021-08-08
0002000378,DEBI,Frank Großhandel GmbH 4,,FRANKGROSS,Brückenstraße 164,Dresden,01067,DE,DE,,info@frankgroßhandelgmb.de,DE466467200,,,DE747431952,,,2023-01-12
0002000379,KUNA,Ullrich Gastronomie GmbH 9,,ULLRICHGAS,Hauptstraße 41,Bielefeld,33602,DE,DE,+33 41 1335 3051,info@ullrichgastronomie.de,DE456418848,,,DE029396816,,,2011-12-22
0002000380,ZCUS,Kiosk Wendt Essen,,KIOSKWENDT,Marktplatz 147,Essen,45127,DE,DE,+48 20 6437 1748,buchhaltung@kioskwendtessen.de,,,,DE542536322,,,2023-04-15
0002000381,KUNA,Krause Handels GmbH & Co. KG 15,,KRAUSEHAND,Marktplatz 99,Augsburg,86150,DE,DE,+33 20 7266 5937,info@krausehandelsgmbhc.de,DE656442939,,,DE408704868,,,2018-12-11
0002000382,KUNA,Ziegler Gastronomie GmbH 16,,ZIEGLERGAS,Feldweg 1,Düsseldorf,40213,DE,DE,+49 63 1860 7749,buchhaltung@zieglergastronomie.de,DE751161110,,,DE094392822,,,2024-04-10
0002000383,KUNA,Bäckerei Lehmann 11,,BÄCKEREILE,Feldweg 211,Essen,45127,DE,DE,+43 47 5618 2598,einkauf@bäckereilehmann11.de,,,,DE058518124,,,2015-08-19
0002000384,KUNA,Bäckerei Frank 18,,BÄCKEREIFR,Hauptstraße 178,Basel,4051,CH,DE,+31 95 3459 2737,buchhaltung@bäckereifrank18.ch,,,,,,,2023-05-28
0002000385,KUNA,Metzgerei Bergmann 8,,METZGEREIB,Marktplatz 187,Bonn,53111,DE,DE,+41 92 6895 4373,bestellung@metzgereibergmann8.de,,,,DE020871801,,,2023-08-17
0002000386,KUNA,Metzgerei Vetter 11,,METZGEREIV,Lindenweg 155,Wien,1010,AT,DE,+43 51 5432 8556,einkauf@metzgereivetter11.at,,,,AT760844096,,,2013-06-09
0002000387,KUNA,Krause Handels GmbH & Co. KG 13,,KRAUSEHAND,Lindenweg 89,Bochum,44787,DE,DE,+49 84 9113 4746,buchhaltung@krausehandelsgmbhc.de,,,,DE959720707,,,2015-11-06
0002000388,KUNA,Metzgerei Wendt 2,,METZGEREIW,Marktplatz 102,Freiburg,79098,DE,DE,+48 96 3243 8100,info@metzgereiwendt2.de,,,,DE980762803,,,2022-01-01
