KUNNR,VKORG,WAERS,ZTERM,INCO1,MINBW,SPERM,LOEVM
0002000880,S100,EUR,NT30,DAP,2500,,
0002000881,S200,EUR,Z030,DDP,250,,
0002000882,S100,EUR,Z014,DAP,2500,,
0002000883,S200,EUR,Z014,EXW,500,,
0002000884,S100,EUR,Z030,DDP,0,,
0002000885,S100,EUR,0001,DDP,2500,,
0002000885,S200,EUR,Z030,DDP,2500,,
0002000886,S300,EUR,Z030,FCA,250,,
0002000887,S300,EUR,Z014,DAP,2500,,
0002000888,S100,EUR,Z030,FCA,0,,
0002000889,S200,EUR,Z030,EXW,0,,
0002000889,S100,EUR,Z014,DDP,500,,
0002000890,S300,EUR,0001,FCA,500,,
0002000891,S200,EUR,Z030,DAP,250,,
0002000891,S100,EUR,Z014,EXW,500,,
0002000892,S300,EUR,Z030,FCA,500,,
0002000892,S200,EUR,NT30,FCA,500,,
0002000893,S100,EUR,NT30,DAP,250,,
0002000894,S200,EUR,Z030,DAP,250,,
0002000895,S100,EUR,Z014,DAP,250,,
0002000895,S200,EUR,0001,FCA,1000,,
0002000896,S200,CHF,Z014,DDP,500,,
0002000897,S200,EUR,Z030,DDP,0,,
0002000898,S300,EUR,NT30,DDP,250,,
0002000899,S200,EUR,NT30,EXW,500,,
0002000900,S300,EUR,NT30,DAP,1000,,
